ruler,config,block_id,chapter_id,side,role,term_ids,form,start,end,surface,credited,context
gold,S0,d2l_preliminaries_ndarray_b002,d2l_preliminaries,target,shadow,gold:data manipulation,thao tác dữ liệu,64,80,thao tác dữ liệu,false,"Để làm được bất cứ việc gì, chúng ta cần một cách để lưu trữ và [[thao tác dữ liệu]]. Nói chung, có hai việc quan trọng chúng ta cần làm với dữ liệu: (i) "
gold,S0,d2l_preliminaries_ndarray_b002,d2l_preliminaries,target,active,gold:data,dữ liệu,137,144,dữ liệu,true,"o tác dữ liệu. Nói chung, có hai việc quan trọng chúng ta cần làm với [[dữ liệu]]: (i) thu thập chúng; và (ii) xử lý chúng sau khi chúng đã nằm trong m"
gold,S0,d2l_preliminaries_ndarray_b002,d2l_preliminaries,target,active,gold:data,dữ liệu,252,259,dữ liệu,true,"úng sau khi chúng đã nằm trong máy tính. Không có ích gì khi thu thập [[dữ liệu]] mà không có cách nào để lưu trữ nó, vì vậy trước hết hãy bắt tay vào "
gold,S0,d2l_preliminaries_ndarray_b002,d2l_preliminaries,target,active,gold:data,dữ liệu,348,355,dữ liệu,true,"ào để lưu trữ nó, vì vậy trước hết hãy bắt tay vào bằng cách chơi với [[dữ liệu]] tổng hợp. Để bắt đầu, chúng ta giới thiệu mảng $n$ chiều, còn được gọ"
gold,S0,d2l_preliminaries_ndarray_b002,d2l_preliminaries,target,shadow,gold:dimension,chiều,407,412,chiều,false,"h chơi với dữ liệu tổng hợp. Để bắt đầu, chúng ta giới thiệu mảng $n$ [[chiều]], còn được gọi là *tensor*."
gold,S0,d2l_preliminaries_ndarray_b003,d2l_preliminaries,source,denominator,gold:framework,framework,150,159,framework,true," in Python,
then you will find this section familiar.
No matter which [[framework]] you use,
its *tensor class* (`ndarray` in MXNet,
`Tensor` in both PyT"
gold,S0,d2l_preliminaries_ndarray_b003,d2l_preliminaries,source,denominator,gold:automatic differentiation,automatic differentiation,448,473,automatic differentiation,true,"umPy only supports CPU computation.
Second, the tensor class
supports [[automatic differentiation]].
These properties make the tensor class suitable for deep learning.
T"
gold,S0,d2l_preliminaries_ndarray_b003,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,527,540,deep learning,true," differentiation.
These properties make the tensor class suitable for [[deep learning]].
Throughout the book, when we say tensors,
we are referring to instan"
gold,S0,d2l_preliminaries_ndarray_b003,d2l_preliminaries,target,active,gold:framework,framework,146,155,framework,true,"i nhất trong Python, thì bạn sẽ thấy phần này quen thuộc. Dù bạn dùng [[framework]] nào, *lớp tensor* của nó (`ndarray` trong MXNet, `Tensor` trong cả Py"
gold,S0,d2l_preliminaries_ndarray_b003,d2l_preliminaries,target,active,gold:deep learning,học sâu,501,508,học sâu,true," trợ vi phân tự động. Những đặc tính này khiến lớp tensor phù hợp cho [[học sâu]]. Xuyên suốt cuốn sách, khi chúng ta nói tensor, chúng ta đang đề cập "
gold,S0,d2l_preliminaries_ndarray_b006,d2l_preliminaries,source,denominator,gold:module,module,123,129,module,true,"py`) and
`npx` (`numpy_extension`) modules from MXNet.
Here, the `np` [[module]] includes functions supported by NumPy,
while the `npx` module contain"
gold,S0,d2l_preliminaries_ndarray_b006,d2l_preliminaries,source,denominator,gold:module,module,185,191,module,true,"he `np` module includes functions supported by NumPy,
while the `npx` [[module]] contains a set of extensions
developed to empower deep learning withi"
gold,S0,d2l_preliminaries_ndarray_b006,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,242,255,deep learning,true,"le the `npx` module contains a set of extensions
developed to empower [[deep learning]] within a NumPy-like environment.
When using tensors, we almost always"
gold,S0,d2l_preliminaries_ndarray_b006,d2l_preliminaries,target,active,gold:module,mô-đun,49,55,mô-đun,true,":begin_tab:`mxnet` Để bắt đầu, chúng ta nhập các [[mô-đun]] `np` (`numpy`) và `npx` (`numpy_extension`) từ MXNet. Ở đây, mô-đun `"
gold,S0,d2l_preliminaries_ndarray_b006,d2l_preliminaries,target,active,gold:module,mô-đun,117,123,mô-đun,true,"c mô-đun `np` (`numpy`) và `npx` (`numpy_extension`) từ MXNet. Ở đây, [[mô-đun]] `np` bao gồm các hàm được NumPy hỗ trợ, trong khi mô-đun `npx` chứa m"
gold,S0,d2l_preliminaries_ndarray_b006,d2l_preliminaries,target,active,gold:module,mô-đun,174,180,mô-đun,false,"XNet. Ở đây, mô-đun `np` bao gồm các hàm được NumPy hỗ trợ, trong khi [[mô-đun]] `npx` chứa một bộ mở rộng được phát triển để tăng cường học sâu trong"
gold,S0,d2l_preliminaries_ndarray_b006,d2l_preliminaries,target,active,gold:deep learning,học sâu,237,244,học sâu,true,"ng khi mô-đun `npx` chứa một bộ mở rộng được phát triển để tăng cường [[học sâu]] trong một môi trường giống NumPy. Khi sử dụng tensor, chúng ta hầu nh"
gold,S0,d2l_preliminaries_ndarray_b012,d2l_preliminaries,source,denominator,gold:vector,vector,121,127,vector,true,"l) array of numerical values.**]
With one axis, a tensor is called a *[[vector]]*.
With two axes, a tensor is called a *matrix*.
With $k > 2$ axes, we"
gold,S0,d2l_preliminaries_ndarray_b012,d2l_preliminaries,target,shadow,gold:dimension,chiều,47,52,chiều,false,"[**Một tensor biểu diễn một mảng (có thể nhiều [[chiều]]) các giá trị số.**] Với một trục, tensor được gọi là *vector*. Với ha"
gold,S0,d2l_preliminaries_ndarray_b012,d2l_preliminaries,target,active,gold:vector,vector,107,113,vector,true,"thể nhiều chiều) các giá trị số.**] Với một trục, tensor được gọi là *[[vector]]*. Với hai trục, tensor được gọi là *ma trận*. Với $k > 2$ trục, chúng"
gold,S0,d2l_preliminaries_ndarray_b013,d2l_preliminaries,source,denominator,gold:example,example,115,122,example,true,"f functions 
for creating new tensors 
prepopulated with values. 
For [[example]], by invoking `arange(n)`,
we can create a vector of evenly spaced val"
gold,S0,d2l_preliminaries_ndarray_b013,d2l_preliminaries,source,denominator,gold:vector,vector,165,171,vector,true,"d with values. 
For example, by invoking `arange(n)`,
we can create a [[vector]] of evenly spaced values,
starting at 0 (included) 
and ending at `n` "
gold,S0,d2l_preliminaries_ndarray_b013,d2l_preliminaries,target,shadow,gold:value,giá trị,88,95,giá trị,false," MXNet cung cấp nhiều hàm để tạo các tensor mới được khởi tạo sẵn các [[giá trị]]. Ví dụ, bằng cách gọi `arange(n)`, chúng ta có thể tạo một vector các"
gold,S0,d2l_preliminaries_ndarray_b013,d2l_preliminaries,target,active,gold:vector,vector,155,161,vector,true,"ác giá trị. Ví dụ, bằng cách gọi `arange(n)`, chúng ta có thể tạo một [[vector]] các giá trị cách đều nhau, bắt đầu từ 0 (bao gồm) và kết thúc ở `n` ("
gold,S0,d2l_preliminaries_ndarray_b013,d2l_preliminaries,target,shadow,gold:value,giá trị,166,173,giá trị,false," Ví dụ, bằng cách gọi `arange(n)`, chúng ta có thể tạo một vector các [[giá trị]] cách đều nhau, bắt đầu từ 0 (bao gồm) và kết thúc ở `n` (không bao gồ"
gold,S0,d2l_preliminaries_ndarray_b013,d2l_preliminaries,target,shadow,gold:shape (in linear algebra),kích thước,262,272,kích thước,false," đầu từ 0 (bao gồm) và kết thúc ở `n` (không bao gồm). Theo mặc định, [[kích thước]] khoảng là $1$. Trừ khi có chỉ định khác, các tensor mới được lưu tron"
gold,S0,d2l_preliminaries_ndarray_b014,d2l_preliminaries,source,denominator,gold:example,example,119,126,example,true,"f functions 
for creating new tensors 
prepopulated with values. 
For [[example]], by invoking `arange(n)`,
we can create a vector of evenly spaced val"
gold,S0,d2l_preliminaries_ndarray_b014,d2l_preliminaries,source,denominator,gold:vector,vector,169,175,vector,true,"d with values. 
For example, by invoking `arange(n)`,
we can create a [[vector]] of evenly spaced values,
starting at 0 (included) 
and ending at `n` "
gold,S0,d2l_preliminaries_ndarray_b014,d2l_preliminaries,target,shadow,gold:value,giá trị,92,99,giá trị,false,"yTorch cung cấp nhiều hàm để tạo các tensor mới được khởi tạo sẵn các [[giá trị]]. Ví dụ, bằng cách gọi `arange(n)`, chúng ta có thể tạo một vector các"
gold,S0,d2l_preliminaries_ndarray_b014,d2l_preliminaries,target,active,gold:vector,vector,159,165,vector,true,"ác giá trị. Ví dụ, bằng cách gọi `arange(n)`, chúng ta có thể tạo một [[vector]] các giá trị cách đều nhau, bắt đầu từ 0 (bao gồm) và kết thúc ở `n` ("
gold,S0,d2l_preliminaries_ndarray_b014,d2l_preliminaries,target,shadow,gold:value,giá trị,170,177,giá trị,false," Ví dụ, bằng cách gọi `arange(n)`, chúng ta có thể tạo một vector các [[giá trị]] cách đều nhau, bắt đầu từ 0 (bao gồm) và kết thúc ở `n` (không bao gồ"
gold,S0,d2l_preliminaries_ndarray_b014,d2l_preliminaries,target,shadow,gold:shape (in linear algebra),kích thước,266,276,kích thước,false," đầu từ 0 (bao gồm) và kết thúc ở `n` (không bao gồm). Theo mặc định, [[kích thước]] khoảng là $1$. Trừ khi có chỉ định khác, các tensor mới được lưu tron"
gold,S0,d2l_preliminaries_ndarray_b015,d2l_preliminaries,source,denominator,gold:example,example,125,132,example,true,"f functions 
for creating new tensors 
prepopulated with values. 
For [[example]], by invoking `range(n)`,
we can create a vector of evenly spaced valu"
gold,S0,d2l_preliminaries_ndarray_b015,d2l_preliminaries,source,denominator,gold:vector,vector,174,180,vector,true,"ed with values. 
For example, by invoking `range(n)`,
we can create a [[vector]] of evenly spaced values,
starting at 0 (included) 
and ending at `n` "
gold,S0,d2l_preliminaries_ndarray_b015,d2l_preliminaries,target,shadow,gold:value,giá trị,98,105,giá trị,false,"orFlow cung cấp nhiều hàm để tạo các tensor mới được khởi tạo sẵn các [[giá trị]]. Ví dụ, bằng cách gọi `range(n)`, chúng ta có thể tạo một vector các "
gold,S0,d2l_preliminaries_ndarray_b015,d2l_preliminaries,target,active,gold:vector,vector,164,170,vector,true,"các giá trị. Ví dụ, bằng cách gọi `range(n)`, chúng ta có thể tạo một [[vector]] các giá trị cách đều nhau, bắt đầu từ 0 (bao gồm) và kết thúc ở `n` ("
gold,S0,d2l_preliminaries_ndarray_b015,d2l_preliminaries,target,shadow,gold:value,giá trị,175,182,giá trị,false,". Ví dụ, bằng cách gọi `range(n)`, chúng ta có thể tạo một vector các [[giá trị]] cách đều nhau, bắt đầu từ 0 (bao gồm) và kết thúc ở `n` (không bao gồ"
gold,S0,d2l_preliminaries_ndarray_b015,d2l_preliminaries,target,shadow,gold:shape (in linear algebra),kích thước,271,281,kích thước,false," đầu từ 0 (bao gồm) và kết thúc ở `n` (không bao gồm). Theo mặc định, [[kích thước]] khoảng là $1$. Trừ khi có chỉ định khác, các tensor mới được lưu tron"
gold,S0,d2l_preliminaries_ndarray_b021,d2l_preliminaries,source,denominator,gold:vector,vector,169,175,vector,true,"hape elements,
we can inspect its size.
Because we are dealing with a [[vector]] here,
the single element of its `shape` is identical to its size."
gold,S0,d2l_preliminaries_ndarray_b021,d2l_preliminaries,target,shadow,gold:shape (in linear algebra),kích thước,132,142,kích thước,false,"ức là tích của tất cả các phần tử của shape, chúng ta có thể kiểm tra [[kích thước]] của nó. Vì ở đây chúng ta đang làm việc với một vector, phần tử duy n"
gold,S0,d2l_preliminaries_ndarray_b021,d2l_preliminaries,target,active,gold:vector,vector,191,197,vector,true,"ể kiểm tra kích thước của nó. Vì ở đây chúng ta đang làm việc với một [[vector]], phần tử duy nhất của `shape` cũng chính là kích thước của nó."
gold,S0,d2l_preliminaries_ndarray_b021,d2l_preliminaries,target,shadow,gold:shape (in linear algebra),kích thước,242,252,kích thước,false,"g làm việc với một vector, phần tử duy nhất của `shape` cũng chính là [[kích thước]] của nó."
gold,S0,d2l_preliminaries_ndarray_b025,d2l_preliminaries,source,denominator,gold:example,example,144,151,example,true,"lements or their values**],
we can invoke the `reshape` function.
For [[example]], we can transform our tensor, `x`,
from a row vector with shape (12,)"
gold,S0,d2l_preliminaries_ndarray_b025,d2l_preliminaries,source,denominator,gold:vector,vector,198,204,vector,true,"` function.
For example, we can transform our tensor, `x`,
from a row [[vector]] with shape (12,) to a matrix with shape (3, 4).
This new tensor conta"
gold,S0,d2l_preliminaries_ndarray_b025,d2l_preliminaries,target,shadow,gold:value,giá trị,80,87,giá trị,false," đổi shape của một tensor mà không làm thay đổi số lượng phần tử hoặc [[giá trị]] của chúng**], chúng ta có thể gọi hàm `reshape`. Ví dụ, chúng ta có t"
gold,S0,d2l_preliminaries_ndarray_b025,d2l_preliminaries,target,active,gold:vector,vector,196,202,vector,true,"`reshape`. Ví dụ, chúng ta có thể biến đổi tensor `x` của mình từ một [[vector]] hàng có shape (12,) thành một ma trận có shape (3, 4). Tensor mới này"
gold,S0,d2l_preliminaries_ndarray_b025,d2l_preliminaries,target,shadow,gold:value,giá trị,287,294,giá trị,false,"(12,) thành một ma trận có shape (3, 4). Tensor mới này chứa đúng các [[giá trị]] như cũ, nhưng xem chúng như một ma trận được tổ chức thành 3 hàng và "
gold,S0,d2l_preliminaries_ndarray_b025,d2l_preliminaries,target,shadow,gold:shape (in linear algebra),kích thước,441,451,kích thước,false,"Nhắc lại, mặc dù shape đã thay đổi, các phần tử thì không. Lưu ý rằng [[kích thước]] không đổi khi reshape."
gold,S0,d2l_preliminaries_ndarray_b028,d2l_preliminaries,source,denominator,gold:dimension,dimension,39,48,dimension,true,"Reshaping by manually specifying every [[dimension]] is unnecessary.
If our target shape is a matrix with shape (height, w"
gold,S0,d2l_preliminaries_ndarray_b028,d2l_preliminaries,source,denominator,gold:dimension,dimension,404,413,dimension,true,"ws and 4 columns.
Fortunately, tensors can automatically work out one [[dimension]] given the rest.
We invoke this capability by placing `-1` for the dim"
gold,S0,d2l_preliminaries_ndarray_b028,d2l_preliminaries,source,denominator,gold:dimension,dimension,480,489,dimension,true,"ion given the rest.
We invoke this capability by placing `-1` for the [[dimension]]
that we would like tensors to automatically infer.
In our case, inste"
gold,S0,d2l_preliminaries_ndarray_b028,d2l_preliminaries,source,denominator,gold:example,example,248,255,example,true,"licitly.
Why should we have to perform the division ourselves?
In the [[example]] above, to get a matrix with 3 rows,
we specified both that it should "
gold,S0,d2l_preliminaries_ndarray_b028,d2l_preliminaries,target,active,gold:dimension,chiều,45,50,chiều,true,Việc reshape bằng cách chỉ định thủ công mọi [[chiều]] là không cần thiết. Nếu shape đích của chúng ta là một ma trận có sha
gold,S0,d2l_preliminaries_ndarray_b028,d2l_preliminaries,target,active,gold:dimension,chiều,421,426,chiều,true,"t. May mắn thay, tensor có thể tự động tính ra một chiều khi biết các [[chiều]] còn lại. Chúng ta kích hoạt khả năng này bằng cách đặt `-1` cho chiều"
gold,S0,d2l_preliminaries_ndarray_b028,d2l_preliminaries,target,active,gold:dimension,chiều,491,496,chiều,true,"chiều còn lại. Chúng ta kích hoạt khả năng này bằng cách đặt `-1` cho [[chiều]] mà chúng ta muốn tensor tự suy ra. Trong trường hợp của chúng ta, tha"
gold,S0,d2l_preliminaries_ndarray_b029,d2l_preliminaries,source,denominator,gold:distribution,distribution,140,152,distribution,true,"es, some other constants,
or numbers randomly sampled from a specific [[distribution]].
[**We can create a tensor representing a tensor with all elements
se"
gold,S0,d2l_preliminaries_ndarray_b029,d2l_preliminaries,target,shadow,gold:example,mẫu,119,122,mẫu,false,"nh được khởi tạo bằng 0, 1, một số hằng số khác, hoặc các số được lấy [[mẫu]] ngẫu nhiên từ một phân phối cụ thể. [**Chúng ta có thể tạo một tensor"
gold,S0,d2l_preliminaries_ndarray_b029,d2l_preliminaries,target,active,gold:distribution,phân phối,141,150,phân phối,true,"0, 1, một số hằng số khác, hoặc các số được lấy mẫu ngẫu nhiên từ một [[phân phối]] cụ thể. [**Chúng ta có thể tạo một tensor biểu diễn một tensor với tấ"
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,source,denominator,gold:distribution,distribution,102,114,distribution,true,"mple the values
for each element in a tensor**]
from some probability [[distribution]].
For example, when we construct arrays to serve
as parameters in a ne"
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,source,denominator,gold:distribution,distribution,383,395,distribution,true,"of its elements is randomly sampled
from a standard Gaussian (normal) [[distribution]]
with a mean of 0 and a standard deviation of 1."
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,source,denominator,gold:example,example,120,127,example,true,"r each element in a tensor**]
from some probability distribution.
For [[example]], when we construct arrays to serve
as parameters in a neural network,"
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,source,denominator,gold:neural network,neural network,182,196,neural network,true,"on.
For example, when we construct arrays to serve
as parameters in a [[neural network]], we will
typically initialize their values randomly.
The following sn"
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,source,denominator,gold:standard deviation,standard deviation,419,437,standard deviation,true,"from a standard Gaussian (normal) distribution
with a mean of 0 and a [[standard deviation]] of 1."
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,target,active,gold:example,mẫu,35,38,mẫu,true,"Thông thường, chúng ta muốn [**lấy [[mẫu]] ngẫu nhiên các giá trị cho từng phần tử trong một tensor**] từ một ph"
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,target,shadow,gold:value,giá trị,54,61,giá trị,false,"Thông thường, chúng ta muốn [**lấy mẫu ngẫu nhiên các [[giá trị]] cho từng phần tử trong một tensor**] từ một phân phối xác suất nào đó"
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,target,active,gold:distribution,phân phối,106,115,phân phối,true,"ẫu ngẫu nhiên các giá trị cho từng phần tử trong một tensor**] từ một [[phân phối]] xác suất nào đó. Ví dụ, khi chúng ta xây dựng các mảng để làm tham số"
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,target,active,gold:neural network,mạng nơ-ron,196,207,mạng nơ-ron,true,"ào đó. Ví dụ, khi chúng ta xây dựng các mảng để làm tham số trong một [[mạng nơ-ron]], chúng ta thường khởi tạo các giá trị của chúng một cách ngẫu nhiên. "
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,target,shadow,gold:value,giá trị,238,245,giá trị,false,"ng để làm tham số trong một mạng nơ-ron, chúng ta thường khởi tạo các [[giá trị]] của chúng một cách ngẫu nhiên. Đoạn mã sau tạo một tensor có dạng (3,"
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,target,active,gold:example,mẫu,348,351,mẫu,false,"oạn mã sau tạo một tensor có dạng (3, 4). Mỗi phần tử của nó được lấy [[mẫu]] ngẫu nhiên từ phân phối Gaussian (chuẩn) tiêu chuẩn với trung bình 0 "
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,target,shadow,gold:gaussian distribution,phân phối Gaussian,366,384,phân phối Gaussian,false," tensor có dạng (3, 4). Mỗi phần tử của nó được lấy mẫu ngẫu nhiên từ [[phân phối Gaussian]] (chuẩn) tiêu chuẩn với trung bình 0 và độ lệch chuẩn 1."
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,target,shadow,gold:norm,chuẩn,386,391,chuẩn,false,4). Mỗi phần tử của nó được lấy mẫu ngẫu nhiên từ phân phối Gaussian ([[chuẩn]]) tiêu chuẩn với trung bình 0 và độ lệch chuẩn 1.
gold,S0,d2l_preliminaries_ndarray_b037,d2l_preliminaries,target,active,gold:standard deviation,độ lệch chuẩn,424,437,độ lệch chuẩn,true,ẫu nhiên từ phân phối Gaussian (chuẩn) tiêu chuẩn với trung bình 0 và [[độ lệch chuẩn]] 1.
